SR_Created_Date,Sr_Num,Enq_Type,Enq_Sub_Type,Postcode
03 July 2017,2-883487990,Tenancy Breach,Noise Nuisance,LS26 0
31 July 2017,2-887001059,LASBT ALMO,Noise Nuisance,LS13 1
03 July 2017,2-883497791,LASBT Private,Noise Nuisance,LS12 4
31 July 2017,2-886993081,Tenancy Breach,Noise Nuisance,LS9 6
04 July 2017,2-883552215,LASBT Private,Noise Nuisance,LS15 7
04 July 2017,2-883544297,Tenancy Breach,Noise Nuisance,LS15 0
04 July 2017,2-883546727,Tenancy Breach,Noise Nuisance,LS27 7
31 July 2017,2-886986353,Tenancy Breach,Noise Nuisance,LS8 3
04 July 2017,2-883575234,LASBT Private,Noise Nuisance,LS9 0
04 July 2017,2-883593334,LASBT Private,Noise Nuisance,LS2 9
04 July 2017,2-883622917,LASBT Private,Noise Nuisance,LS7 2
04 July 2017,2-883648926,Tenancy Breach,Noise Nuisance,LS12 3
04 July 2017,2-883634813,LASBT ALMO,Noise Nuisance,LS9 9
28 July 2017,2-886796402,LASBT ALMO,Noise Nuisance,LS14 1
04 July 2017,2-883661063,Tenancy Breach,Noise Nuisance,LS9 6
04 July 2017,2-883678280,LASBT ALMO,Noise Nuisance,LS12 1
05 July 2017,2-883699081,Tenancy Breach,Noise Nuisance,LS21 1
28 July 2017,2-886773616,Tenancy Breach,Noise Nuisance,LS25 1
28 July 2017,2-886740857,Tenancy Breach,Noise Nuisance,LS5 3
28 July 2017,2-886752094,Tenancy Breach,Noise Nuisance,LS17 5
05 July 2017,2-883713169,LASBT Private,Noise Nuisance,LS13 3
28 July 2017,2-886678698,Tenancy Breach,Noise Nuisance,LS9 7
05 July 2017,2-883757684,LASBT ALMO,Noise Nuisance,LS9 7
27 July 2017,2-886685057,Tenancy Breach,Noise Nuisance,LS10 2
27 July 2017,2-886666543,Tenancy Breach,Noise Nuisance,LS14 1
27 July 2017,2-886643640,Tenancy Breach,Noise Nuisance,LS22 6
27 July 2017,2-886614213,Tenancy Breach,Noise Nuisance,LS21 2
27 July 2017,2-886601633,LASBT Private,Noise Nuisance,LS21 2
27 July 2017,2-886609120,Tenancy Breach,Noise Nuisance,LS11 0
27 July 2017,2-886582856,Tenancy Breach,Noise Nuisance,LS16 6
05 July 2017,2-883792897,Tenancy Breach,Noise Nuisance,LS16 6
05 July 2017,2-883794769,Tenancy Breach,Noise Nuisance,LS14 2
27 July 2017,2-886554791,Tenancy Breach,Noise Nuisance,LS10 3
05 July 2017,2-883859001,LASBT Private,Noise Nuisance,LS6 1
06 July 2017,2-883861388,LASBT Private,Noise Nuisance,LS19 6
06 July 2017,2-883861738,LASBT Private,Noise Nuisance,LS6 1
06 July 2017,2-883874218,Tenancy Breach,Noise Nuisance,LS13 2
06 July 2017,2-883883936,LASBT Private,Noise Nuisance,LS12 5
06 July 2017,2-883872805,LASBT Private,Noise Nuisance,LS13 4
26 July 2017,2-886475124,LASBT ALMO,Noise Nuisance,LS25 3
26 July 2017,2-886466042,Tenancy Breach,Noise Nuisance,LS22 7
26 July 2017,2-886391920,LASBT ALMO,Noise Nuisance,LS13 4
26 July 2017,2-886394092,Tenancy Breach,Noise Nuisance,LS26 8
06 July 2017,2-883933306,Tenancy Breach,Noise Nuisance,LS12 3
25 July 2017,2-886361489,Tenancy Breach,Noise Nuisance,LS14 1
25 July 2017,2-886340464,LASBT ALMO,Noise Nuisance,WF10 2
25 July 2017,2-886296774,LASBT ALMO,Noise Nuisance,LS10 3
06 July 2017,2-883951409,Tenancy Breach,Noise Nuisance,LS14 5
25 July 2017,2-886310035,Tenancy Breach,Noise Nuisance,LS7 4
06 July 2017,2-883975376,LASBT ALMO,Noise Nuisance,LS11 5
06 July 2017,2-883970378,LASBT Private,Noise Nuisance,LS6 1
25 July 2017,2-886243633,LASBT ALMO,Noise Nuisance,LS26 8
25 July 2017,2-886229771,Tenancy Breach,Noise Nuisance,LS9 7
25 July 2017,2-886219457,Tenancy Breach,Noise Nuisance,LS13 4
06 July 2017,2-883996897,LASBT ALMO,Noise Nuisance,LS7 2
07 July 2017,2-884004599,LASBT ALMO,Noise Nuisance,LS12 3
07 July 2017,2-884041154,Tenancy Breach,Noise Nuisance,LS6 2
25 July 2017,2-886192383,Tenancy Breach,Noise Nuisance,LS6 2
07 July 2017,2-884056033,LASBT ALMO,Noise Nuisance,LS13 2
24 July 2017,2-886179775,Tenancy Breach,Noise Nuisance,LS14 1
24 July 2017,2-886146566,Tenancy Breach,Noise Nuisance,LS6 2
24 July 2017,2-886122130,LASBT ALMO,Noise Nuisance,LS27 8
07 July 2017,2-884080500,LASBT Private,Noise Nuisance,LS6 1
24 July 2017,2-886080250,Tenancy Breach,Noise Nuisance,LS13 1
07 July 2017,2-884087620,Tenancy Breach,Noise Nuisance,LS14 1
24 July 2017,2-886081972,LASBT Private,Noise Nuisance,LS10 3
24 July 2017,2-886086319,Tenancy Breach,Noise Nuisance,LS28 8
24 July 2017,2-886075666,Tenancy Breach,Noise Nuisance,LS9 7
24 July 2017,2-886081626,Tenancy Breach,Noise Nuisance,LS14 1
24 July 2017,2-886047988,LASBT ALMO,Noise Nuisance,LS15 0
07 July 2017,2-884126412,LASBT ALMO,Noise Nuisance,LS5 3
07 July 2017,2-884139087,Tenancy Breach,Noise Nuisance,LS17 7
24 July 2017,2-886052676,Tenancy Breach,Noise Nuisance,LS22 6
07 July 2017,2-884157596,Tenancy Breach,Noise Nuisance,LS5 3
07 July 2017,2-884172979,Tenancy Breach,Noise Nuisance,LS6 2
07 July 2017,2-884162331,LASBT ALMO,Noise Nuisance,LS13 1
24 July 2017,2-886005859,Tenancy Breach,Noise Nuisance,LS13 1
10 July 2017,2-884273920,LASBT Private,Noise Nuisance,LS16 6
10 July 2017,2-884276330,Tenancy Breach,Noise Nuisance,LS10 4
24 July 2017,2-886005624,Tenancy Breach,Noise Nuisance,LS14 1
21 July 2017,2-885957582,LASBT Private,Noise Nuisance,LS3 1
21 July 2017,2-885957404,LASBT Private,Noise Nuisance,LS28 7
10 July 2017,2-884263826,Tenancy Breach,Noise Nuisance,LS12 5
21 July 2017,2-885911157,Tenancy Breach,Noise Nuisance,LS17 6
