Venue Name,Venue Address 1,Venue Address 2,Venue Address 3,Venue Address 4,Venue Postcode,Website
Sukhothai - Chapel Allerton,8 Regent Street,Chapel Allerton,,,LS7 4PE,http://www.sukhothai.co.uk/
Comptoir Libanais,Level 4 Trinity Albion Street,Leeds,,,LS1 5AY ,http://www.comptoirlibanais.com
200 Degrees Coffee,200 Degrees Coffee,31 Bond Street,Leeds,,LS1 5BQ,http://200degs.com/
Gino D’Acampo My Restaurant,Gino D’Acampo My Restaurant,11/12 Park Row,Leeds,,LS1 5HD,http://ginodacamporestaurants.com/myrestaurant/myrestaurants/leeds/
Olive & Rye,Queens Arcade,Leeds,,,LS1 6LF,http://www.oliverye.co.uk
Thewlis Cocktail Lounge,18 Park Row,Leeds,,,LS1 5JA,http://www.thewliscocktails.co.uk
Le Pain Quotidien,"16, Leeds Victoria Gate Arcade",Harewood Street,Leeds,,LS2 7AR,http://www.lepainquotidien.co.uk
Byron,9a Lands Lane,Leeds,,,LS1 6AW,
Stockdales of Yorkshire,8 South Parade,Leeds,,,LS1 5QX,http://stockdales-restaurant.com/
Mod Pizza,Unit 11a Cardigan Fields Leisure Park,Kirkstall Road,Leeds,,LS4 2DG,http://www.modpizza.co.uk
Slate NQ,Merrion Street,Leeds,,,LS2 8JE,http://www.slatenq.co.uk
The Alchemist Greek Street,The Alchemist Greek Street,Yorkshire House,Greek Street,Leeds,LS1 5SH,http://thealchemist.uk.com/venues/greek-street-leeds/
The East Village,The East Village,47-49 Brudenell Grove,Leeds,,LS6 1HR,http://www.theeastvillage.bar
Sociable Folk,10 Wellington Place,Leeds,,,LS1 4AP,http://www.sociablefolk.co.uk
Revolución de Cuba,64-68 Call Lane,Leeds,,,LS1 6DT,http://www.revoluciondecuba.com/bar/leeds/
Tharavadu,7/8 Mill Hill,Leeds,,,LS1 5DQ,http://www.tharavadurestaurants.com
Smoke Barbecue Leeds,Merrion Centre,"Leeds, Unit 6",11 Merrion Way,Leeds,LS2 8BT,http://www.smokebbq.co.uk
MR PITTA,Commercial Street,Leeds,,,LS1 6AL,http://www.mrpitta.co.uk
Iberica Leeds,Hepper House,17A East Parade,Leeds,,LS1 2BH ,http://www.ibericarestaurants.com
Cabana Brasilian Barbecue,Unit 4.02,430 Trinity Leeds,Albion Street,Leeds,LS1 5AT,http://www.cabana-brasil.com/
Candlebar,CANDLEBAR,Candle House,Granary Wharf,Leeds,LS1 4GJ,http://www.candlebarleeds.co.uk
Be At One Leeds,Be At One Cocktail Bar,Millennium Square,Great George Street,Leeds,LS2 3AD,http://www.beatone.co.uk
Bang Wok,Bang Wok,Arch 1,Sovereign Place,Leeds,LS1 4SP,http://www.bangwok.com
Pieminister,Pieminister,15-17 Duncan Street,Leeds,,LS1 6DQ,http://www.pieminister.co.uk/restaurants/leeds/
The Engine Shed,The Engine Shed,York Road,Wetherby,,LS22 7SU,http://www.engineshedwetherby.co.uk
MEATliquor Leeds,1 Bank St. North,Trinity Centre,Behind Victoria’s Secret,Leeds,LS1 5AT,http://www.meatliquor.com/leeds
Bar Soba,9A Merrion Street,Leeds,,,LS1 6PQ,http://www.barsoba.co.uk/
Mill Kitchen,1 The Old Combing,Sunny Bank Mills,83-85 Town Street,"Farsley, Pudsey",LS28 5UJ,http://www.millkitchen.co.uk
Bilbao Bar,Arch U,Granary Wharf,Leeds,,LS1 4BR,http://www.bilbaobar.co.uk
Watermill  Restaurant at Milford Hotel,Great North Road,Peckfield,,,LS25 5LQ,www.milfordhotel.co.uk
La Rambla –Tapas & Wine,La Rambla –Tapas & Wine,9 East Parade,Leeds,,LS1 2AJ,http://www.laramblatapas.co.uk
Manahatta,11 Merrion Street,Leeds,,,LS1 6PG,http://www.arcinspirations.com
